fok_20,novelty_20,bt,fail,log_cit_10
4.0,0.0,1.6367476240760297,19.21858500527983,2.537008155850688
5.0,0.0,2.0865936358894106,19.45748565466875,2.6367141635277185
12.0,0.0,2.1538461538461537,19.753846153846155,2.5652662162544373
2.0,0.0,1.4801657785671996,19.06453522794553,2.588555679059311
17.0,0.0,2.0080321285140563,20.682730923694777,2.5465988961743418
8.0,0.0,2.328222600795003,21.067575241340148,2.5939117270315215
3.0,0.0,1.6595289079229123,18.73661670235546,2.6010619732218974
15.0,18.0,3.866721513780337,20.197449609214317,2.7123019407392124
16.0,0.0,2.4278215223097113,21.981627296587927,2.570630891543425
10.0,17.0,3.8089480048367594,21.281741233373637,2.636568285782278
18.0,0.0,2.5265957446808507,21.808510638297875,2.5321244461059407
5.0,18.0,2.8960817717206133,14.735945485519592,2.77990257740198
13.0,17.0,4.633204633204633,19.93243243243243,2.675071745171888
10.0,0.0,1.8118059614260666,20.22209234365868,2.569824641360861
1.0,0.0,1.8217306441119063,20.819778789850357,2.5603212435079805
17.0,19.0,6.65783371977476,18.482941371315004,2.7573895550661516
10.0,18.0,3.880597014925373,18.80597014925373,2.719066444644991
14.0,0.0,2.3325358851674642,22.84688995215311,2.5471622491555284
11.0,0.0,1.654306902452938,19.908727895037078,2.5768426396375057
5.0,17.0,3.422619047619048,19.642857142857142,2.6633303032653695
15.0,0.0,2.2295081967213117,22.032786885245905,2.524691977977441
6.0,0.0,1.5233415233415233,19.45945945945946,2.5593759669144402
0.0,0.0,1.8130665833072834,19.631134729603,2.569649203193465
11.0,18.0,4.335260115606936,18.323699421965316,2.762744746458033
19.0,0.0,2.614015572858732,23.63737486095662,2.4968547875609204
9.0,18.0,2.52156602521566,17.38553417385534,2.7240735500774105
13.0,15.0,3.6839295248264814,21.142552055525897,2.6540933872959807
5.0,19.0,5.180388529139686,18.316373728029603,2.774651043567852
7.0,0.0,1.6586409844836811,21.241305510968434,2.59393123677808
7.0,15.0,1.5595757953836558,19.588271990018715,2.605307283550221
16.0,19.0,5.5846422338568935,20.31413612565445,2.728959939141665
9.0,0.0,1.6577540106951874,20.6951871657754,2.5546672179473147
11.0,17.0,2.7331189710610935,18.435155412647376,2.669866621615281
13.0,0.0,1.82370820668693,22.43161094224924,2.5193771719619558
12.0,19.0,6.077630234933606,18.181818181818183,2.818893976926836
9.0,17.0,2.9593094944512948,18.495684340320594,2.6965871081036727
15.0,17.0,4.087320018578727,22.2480260102183,2.645895469487456
19.0,14.0,2.455739577384352,23.072529982866932,2.5128998943197476
13.0,9.0,2.34375,19.7265625,2.5979548763351517
19.0,18.0,5.048715677590788,21.16917626217892,2.6618743286248847
15.0,16.0,3.591585428424833,21.600820933812212,2.6503460782809216
18.0,17.0,4.480369515011548,21.33949191685912,2.6741900178658065
17.0,17.0,3.509571558796718,22.333637192342753,2.5848432768278737
13.0,19.0,5.270522388059701,18.61007462686567,2.819570350435182
19.0,19.0,6.935881627620222,20.807644882860664,2.708790665925973
4.0,17.0,2.450592885375494,18.102766798418973,2.7040883394839734
13.0,18.0,5.617977528089887,20.371275036638984,2.7236164665903186
13.0,16.0,3.0678148546824544,21.15177610333692,2.617858000504797
7.0,17.0,3.234501347708895,19.67654986522911,2.6912786700924625
14.0,19.0,4.807692307692308,20.3125,2.7303306761697472
9.0,16.0,2.962085308056872,21.623222748815166,2.6511239282867054
12.0,15.0,3.41545352743561,18.81298992161254,2.6944422468473794
12.0,11.0,3.4271725826193387,21.41982864137087,2.6140118558439482
9.0,19.0,4.115755627009646,20.321543408360128,2.714094268733514
16.0,17.0,4.82037289677126,22.282855843565258,2.656824018312849
14.0,18.0,4.95575221238938,19.20353982300885,2.718816918842768
18.0,19.0,7.939079714841219,20.99805573558004,2.749241832100981
15.0,19.0,5.117352828010773,19.315121200461714,2.7630224251431854
10.0,19.0,4.211229946524064,18.649732620320854,2.7999138710408094
16.0,18.0,4.505263157894737,21.221052631578946,2.65968495161223
8.0,17.0,3.989535644211903,18.312622629169393,2.735366510573611
17.0,1.0,1.8430034129692834,19.726962457337883,2.6229205972697813
13.0,1.0,2.018229166666667,18.1640625,2.622591621253048
14.0,1.0,2.629848783694938,20.84155161078238,2.5610799160075914
18.0,13.0,2.679127725856698,22.242990654205606,2.548513943945781
4.0,1.0,1.8446059250978202,20.29066517607602,2.5575049491003994
0.0,1.0,1.4595941616233536,17.977928088287648,2.629080574662492
19.0,1.0,2.3780487804878048,23.29268292682927,2.515329843559792
11.0,16.0,2.5655326268823204,21.416620189626325,2.6303109141267424
7.0,1.0,2.0,19.333333333333332,2.5708483246676117
4.0,13.0,1.6724336793540944,19.08881199538639,2.5933972994414876
9.0,1.0,1.6638935108153077,19.744869661674986,2.5656742555861736
3.0,1.0,1.7981438515081205,20.069605568445475,2.6108621595529655
5.0,1.0,2.068194522079374,21.68809390721073,2.57944472632461
11.0,1.0,2.2988505747126435,19.66794380587484,2.585260393238799
2.0,1.0,1.6656384947563232,17.520049352251696,2.607152893345017
16.0,1.0,1.8055555555555554,21.041666666666668,2.5602053590224143
3.0,16.0,1.8854748603351956,19.343575418994412,2.612305259406854
18.0,1.0,2.09351011863224,21.144452198185625,2.529536107559181
14.0,17.0,4.049700874367234,22.27335480901979,2.654692230590434
6.0,1.0,1.3646288209606987,19.814410480349345,2.53152280362234
15.0,1.0,2.2941970310391366,22.53711201079622,2.5128493903743947
9.0,2.0,1.3434579439252337,20.268691588785046,2.5738643179402683
18.0,15.0,3.9660056657223794,22.26628895184136,2.6102937993785966
6.0,18.0,2.353966870095902,19.61639058413252,2.6990803209560577
12.0,1.0,2.5193798449612403,18.992248062015506,2.613714714034102
19.0,17.0,4.8490846115784265,22.958931222167244,2.6189046028736507
12.0,3.0,1.911667765326302,20.17139090309822,2.5553316110348794
10.0,1.0,1.7687934301958308,19.583070120025265,2.594367104637616
8.0,1.0,1.6147635524798154,19.953863898500575,2.5939316560933188
16.0,2.0,2.118334550766983,21.840759678597514,2.5775723429878927
1.0,1.0,1.694915254237288,21.59447583176397,2.51317582672469
17.0,18.0,4.131227217496963,21.344673957067638,2.657606423252343
0.0,2.0,1.2686567164179103,17.05223880597015,2.638111269809377
8.0,16.0,3.180428134556575,20.0611620795107,2.6463524562479606
14.0,10.0,2.815934065934066,20.32967032967033,2.618913113707376
9.0,15.0,2.2058823529411766,19.626696832579185,2.584139434218832
12.0,2.0,1.6181229773462782,20.776699029126213,2.564457867013123
8.0,18.0,3.5211267605633805,17.887323943661972,2.7310439226609695
5.0,16.0,2.4963289280469896,19.530102790014684,2.6810444715219366
7.0,2.0,2.0408163265306123,19.444444444444446,2.5779820099662465
18.0,2.0,1.8465909090909092,20.951704545454543,2.531416481369106
19.0,2.0,2.9058749210360073,22.17308907138345,2.518731824780334
15.0,15.0,3.485254691689008,23.217158176943702,2.5527098022326618
12.0,18.0,4.155707522356654,20.094687006838505,2.702960225512156
4.0,18.0,2.085222121486854,17.951042611060743,2.661349172190736
13.0,2.0,1.7310252996005324,20.306258322237017,2.5942852940828947
6.0,2.0,1.5350877192982455,19.517543859649123,2.6014319763822202
15.0,2.0,1.6901408450704223,21.267605633802816,2.5758766627855945
15.0,3.0,2.638888888888889,20.0,2.5819355764064307
11.0,2.0,2.2316043425814236,20.989143546441497,2.540853915308021
2.0,2.0,1.2266355140186915,20.035046728971963,2.55329852951556
4.0,2.0,2.104097452934662,20.930232558139537,2.563336957597742
8.0,19.0,4.590665646518746,19.739862280030604,2.792041894429623
8.0,2.0,2.0746887966804977,19.97628927089508,2.5904351093243085
1.0,2.0,2.0325203252032518,19.279907084785133,2.577280848105522
10.0,2.0,2.109704641350211,20.132610006027726,2.5720168964168377
3.0,2.0,2.463343108504399,19.00293255131965,2.6015984637554594
17.0,2.0,2.496532593619972,21.0124826629681,2.546627779575974
12.0,17.0,3.719676549865229,19.19137466307278,2.687380163104046
5.0,2.0,1.642935377875137,18.784227820372397,2.592020173779159
18.0,16.0,4.284274193548387,20.110887096774192,2.6821220136668154
14.0,2.0,1.8518518518518516,21.626984126984127,2.560203780635334
3.0,18.0,3.9622641509433962,17.547169811320753,2.759494551738715
